=== Period 1 (Wed, Mar 25 - Sun, Mar 29) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
Batting Breakdown TeamHRPtsDif Guillotine1312.510.5 Simba's Dublin Green Sox1312.510.5 Dawg1211.01.0 Big Sticks1110.0-2.0 Maga Doge108.5-1.5 Rieken Havoc108.54.5 Gashouse Gang97.01.5 Young Guns86.0-7.0 Like a Nightmare75.0-0.5 Runtime Terror64.0-3.5 Long Balls53.01.0 Magnum GI42.0-8.0 Trex21.0-6.5 TeamOBPPtsDif Dawg.395313.02.0 Young Guns.362712.00.0 Big Sticks.353511.03.0 Gashouse Gang.346710.04.0 Runtime Terror.33339.0-1.0 Simba's Dublin Green Sox.33108.06.0 Maga Doge.33097.04.0 Long Balls.32196.0-1.0 Like a Nightmare.32015.04.0 Trex.31714.0-5.0 Guillotine.31103.0-1.0 Rieken Havoc.30152.0-3.0 Magnum GI.29821.0-12.0 TeamRPtsDif Young Guns4613.00.0 Runtime Terror4212.01.0 Like a Nightmare3911.09.0 Maga Doge3810.06.0 Guillotine369.04.0 Gashouse Gang358.0-1.5 Dawg346.5-3.0 Trex346.5-1.5 Simba's Dublin Green Sox325.04.0 Big Sticks313.5-3.5 Long Balls313.50.5 Magnum GI271.5-10.5 Rieken Havoc271.5-4.5 TeamRBIPtsDif Dawg4513.010.0 Maga Doge4211.53.5 Big Sticks4211.55.0 Guillotine4010.09.0 Simba's Dublin Green Sox389.04.0 Young Guns337.5-2.0 Gashouse Gang337.5-3.5 Like a Nightmare295.53.5 Rieken Havoc295.5-1.0 Magnum GI284.0-8.0 Runtime Terror273.0-10.0 Long Balls242.0-2.0 Trex231.0-8.5 TeamSBPtsDif Maga Doge1313.05.5 Big Sticks1211.51.0 Runtime Terror1211.56.5 Dawg88.5-2.0 Young Guns88.56.5 Rieken Havoc88.5-2.0 Long Balls88.55.5 Guillotine75.0-5.5 Simba's Dublin Green Sox75.00.0 Like a Nightmare75.04.0 Gashouse Gang52.5-2.5 Magnum GI52.5-10.5 Trex31.0-6.5||Pitching Breakdown TeamERAPtsDif Maga Doge2.33113.010.0 Magnum GI2.71712.02.0 Guillotine2.91511.00.0 Dawg2.92510.04.0 Big Sticks2.9599.02.0 Gashouse Gang3.1978.07.0 Like a Nightmare3.2407.03.0 Simba's Dublin Green Sox3.5146.0-3.0 Runtime Terror4.7965.00.0 Young Guns4.9564.02.0 Long Balls5.4733.0-10.0 Rieken Havoc5.8622.0-10.0 Trex6.0001.0-7.0 TeamKPtsDif Guillotine6113.09.0 Rieken Havoc5912.06.0 Magnum GI5711.00.5 Young Guns5610.09.0 Maga Doge549.0-1.5 Big Sticks537.5-4.5 Gashouse Gang537.55.5 Long Balls506.0-7.0 Like a Nightmare455.00.0 Runtime Terror424.01.0 Simba's Dublin Green Sox403.0-4.0 Dawg372.0-6.5 Trex301.0-7.5 TeamSPtsDif Like a Nightmare513.03.5 Maga Doge411.50.0 Magnum GI411.55.0 Dawg28.0-3.5 Simba's Dublin Green Sox28.0-5.0 Runtime Terror28.04.5 Rieken Havoc28.01.5 Trex28.01.5 Young Guns15.03.5 Big Sticks02.51.0 Guillotine02.5-1.0 Gashouse Gang02.5-4.0 Long Balls02.5-7.0 TeamWHIPPtsDif Magnum GI1.018913.00.0 Gashouse Gang1.085512.011.0 Big Sticks1.089011.03.0 Guillotine1.090910.00.0 Like a Nightmare1.12809.04.0 Dawg1.15008.0-1.0 Simba's Dublin Green Sox1.17127.01.0 Young Guns1.23426.04.0 Maga Doge1.27345.0-2.0 Runtime Terror1.36184.01.0 Trex1.47623.0-1.0 Rieken Havoc1.51972.0-9.0 Long Balls1.74321.0-11.0 TeamWQSPtsDif Maga Doge911.55.0 Big Sticks911.50.5 Guillotine911.510.5 Simba's Dublin Green Sox911.57.0 Magnum GI89.0-3.0 Gashouse Gang78.03.5 Like a Nightmare56.0-3.0 Runtime Terror56.03.0 Rieken Havoc56.0-7.0 Dawg44.0-2.5 Trex33.0-6.0 Young Guns21.5-0.5 Long Balls21.5-7.5
Team|HR|Pts|Dif
Guillotine|13|12.5|10.5
Simba's Dublin Green Sox|13|12.5|10.5
Dawg|12|11.0|1.0
Big Sticks|11|10.0|-2.0
Maga Doge|10|8.5|-1.5
Rieken Havoc|10|8.5|4.5
Gashouse Gang|9|7.0|1.5
Young Guns|8|6.0|-7.0
