source: https://buecker.baseball.cbssports.com/stats/stats-main/fa:P/period-22:p/standard/projections?print_rows=9999
captured: 2026-08-22T20:24:42
---
ACTION|AVAIL|PLAYER|INNS|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|RANK
Action|Avail|Player|INNs|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|Rank
29084177|P|FA|Chad Patrick P • MIL|2.0|1.6|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.4|2.1|0.8|1.9|3.68|1.33|323
2504136|P|FA|Hoby Milner P • CHC|2.0|1.6|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.3|1.1|0.4|1.5|2.96|0.93|324
2171169|P|FA|Fernando Cruz P • NYY|2.0|2.3|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.9|2.8|1.2|1.6|3.45|1.37|325
28921922|P|FA|Hunter Gaddis P • CLE|2.0|2.0|0.0|0.0|0.0|0.1|0.1|0.0|0.0|1.0|1.9|0.7|1.6|2.87|1.12|330
2821477|P|FA|Eduard Bazardo P • SEA|2.0|1.8|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.6|2.1|0.6|1.8|3.07|1.20|332
29321961|P|FA|George Klassen P • LAA|5.0|1.0|1.0|0.4|0.0|0.2|0.4|0.0|0.0|0.0|4.7|2.0|4.8|4.71|1.37|333
2228478|P|FA|Andrew Kittredge P • BAL|2.1|2.6|0.0|0.0|0.0|0.0|0.1|0.3|0.1|0.1|2.4|0.6|2.5|3.86|1.33|335
29342216|P|FA|Robby Ahlstrom P • TEX|2.0|2.2|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.4|1.7|0.5|1.7|4.27|1.09|336
29329333|P|FA|Grant Wolfram P • BAL|2.1|2.5|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.7|3.0|0.8|2.4|5.03|1.39|343
29295979|P|FA|Zebby Matthews P • MIN|5.1|1.0|1.0|0.4|0.0|0.3|0.4|0.0|0.0|0.0|4.8|1.5|6.2|5.22|1.45|344
2164751|P|FA|Taylor Rogers P • MIN|2.0|1.7|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|1.6|0.8|1.8|3.58|1.26|346
2170031|P|FA|Tyler Rogers P • TOR|2.0|2.3|0.0|0.0|0.0|0.0|0.1|0.0|0.0|1.1|1.2|0.5|1.8|2.00|1.18|347
28862895|P|FA|Gordon Graceffo P • STL|2.1|1.9|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.2|1.8|1.2|2.0|4.49|1.38|348
29085772|P|FA|Ryan Gusto P • MIA|4.1|1.0|1.0|0.2|0.0|0.1|0.2|0.0|0.0|0.0|4.0|1.2|4.7|4.51|1.36|349
2791772|P|FA|Tim Hill P • NYY|2.0|1.9|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|0.8|0.4|1.6|3.40|1.03|351
29385927|P|FA|Michael Petersen P • MIA|2.1|2.4|0.0|0.0|0.0|0.1|0.1|0.0|0.0|1.0|3.2|1.2|2.0|4.24|1.36|353
2837106|P|FA|Alex Lange P • KC|3.0|2.9|0.0|0.0|0.0|0.1|0.2|0.0|0.0|0.3|3.1|1.4|2.5|5.02|1.32|355
2443874|P|FA|Jakob Junis P • TEX|2.0|2.2|0.0|0.0|0.0|0.1|0.0|0.1|0.0|0.8|2.0|0.5|2.3|3.79|1.40|356
2829296|P|FA|Elvis Alvarado P • ATH|2.1|2.7|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.5|3.8|1.5|2.4|5.63|1.69|357
2444515|P|FA|Jose Alvarado P • PHI|2.0|2.1|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.5|2.2|0.8|1.8|4.69|1.29|358
2245782|P|FA|Brock Stewart P • LAD|1.0|0.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3|0.7|0.2|0.4|1.64|0.59|359
2838064|P|FA|Nate Pearson P • KC|3.0|2.9|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.3|2.9|1.7|2.9|4.29|1.51|362
1718083|P|FA|Craig Kimbrel P • KC|2.0|2.0|0.0|0.0|0.0|0.1|0.2|0.1|0.0|0.2|1.9|0.9|1.5|4.00|1.18|363
29632458|P|FA|Brad Lord P • WAS|4.1|1.0|1.0|0.2|0.0|0.1|0.4|0.0|0.0|0.0|3.6|1.5|4.0|4.67|1.26|364
2898231|P|FA|Dennis Santana P • ARI|1.2|1.3|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.2|1.1|0.5|1.1|3.46|0.95|365
2932735|P|FA|Braydon Fisher P • TOR|2.0|2.3|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.4|2.2|1.1|1.5|3.77|1.32|366
2165525|P|FA|Sean Newcomb P • CHW|2.2|2.1|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.5|3.2|1.3|2.8|3.33|1.52|369
2942975|P|FA|Cole Winn P • TEX|2.0|1.8|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.4|1.8|0.6|1.8|4.56|1.23|370
29658270|P|FA|Craig Yoho P • CLE|2.0|2.0|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.2|2.0|1.2|1.4|5.31|1.27|371
2779811|P|FA|Evan Phillips P • LAD|1.1|1.4|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.4|1.3|0.4|1.2|3.66|1.15|372
2931989|P|FA|Daniel Lynch IV P • KC|2.2|2.0|2.0|0.0|0.0|0.1|0.2|0.0|0.0|0.0|2.2|0.8|2.6|4.13|1.31|373
29033794|P|FA|Casey Legumina P • TB|2.1|2.0|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|1.8|0.6|2.1|3.99|1.18|374
2915535|P|FA|Kyle Hart P • SD|2.0|1.4|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.3|1.7|0.6|1.5|4.17|1.04|375
29672111|P|FA|Jose Fermin P • LAA|2.0|2.5|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.4|3.0|1.3|2.0|4.65|1.68|377
3174282|P|FA|Jason Foley P • SF|2.0|2.2|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.2|1.3|0.8|1.6|3.56|1.19|380
2007003|P|FA|Michael Fulmer P • LAA|3.1|2.3|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.5|3.7|1.5|3.5|4.28|1.48|384
2044525|P|FA|Pierce Johnson P • CIN|2.1|2.8|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.6|2.5|1.0|2.3|4.41|1.42|385
3151014|P|FA|Manuel Rodriguez P • TB|1.0|1.1|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.3|0.8|0.2|0.8|1.92|0.97|386
2821260|P|FA|Tejay Antone P • CIN|2.1|3.1|0.0|0.0|0.0|0.1|0.0|0.1|0.0|0.7|2.8|0.9|2.4|4.36|1.42|387
26912491|P|FA|Joshua Walker P • BAL|2.1|2.3|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.3|2.8|1.1|2.8|4.22|1.67|388
2218312|P|FA|Paul Sewald P • TOR|1.1|1.6|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.1|1.4|0.3|1.0|4.99|0.97|390
2835083|P|FA|Brendon Little P • TOR|2.0|1.8|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.5|2.1|1.1|1.4|3.87|1.25|394
29662260|P|FA|Trent Harris P • SF|2.0|1.8|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|2.0|0.7|1.7|4.24|1.23|396
2837459|P|FA|Cam Sanders P • BAL|2.1|3.5|0.0|0.0|0.0|0.0|0.1|0.8|0.1|0.1|3.8|1.9|2.3|7.27|1.79|398
2739972|P|FA|Kyle Finnegan P • DET|2.2|2.6|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.9|2.5|1.5|2.8|3.85|1.61|400
2921575|P|FA|Joel Kuhnel P • MIL|2.0|1.6|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|1.0|0.5|1.7|3.96|1.14|404
